n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
32,100,8,0.985,0.987,0.972,0.637,0.613,0.424
32,100,10,0.978,0.983,0.962,0.649,0.641,0.439
64,10,2,0.97,0.969,0.941,0.681,0.653,0.479
64,10,4,0.959,0.961,0.923,0.682,0.666,0.48
64,10,6,0.952,0.955,0.91,0.682,0.639,0.461
64,10,8,0.95,0.95,0.904,0.674,0.649,0.467
64,10,10,0.942,0.942,0.888,0.68,0.653,0.469
64,20,2,1.0,1.0,1.0,0.67,0.645,0.458
64,20,4,0.997,0.998,0.995,0.659,0.646,0.447
64,20,6,0.993,0.994,0.987,0.657,0.646,0.448
64,20,8,0.988,0.989,0.978,0.652,0.624,0.44
64,20,10,0.983,0.985,0.969,0.677,0.643,0.461
64,30,2,1.0,1.0,1.0,0.671,0.627,0.45
64,30,4,0.997,0.998,0.995,0.667,0.649,0.452
64,30,6,0.994,0.995,0.988,0.667,0.637,0.45
64,30,8,0.988,0.99,0.978,0.677,0.627,0.454
64,30,10,0.984,0.986,0.97,0.668,0.651,0.464
64,40,2,1.0,1.0,1.0,0.673,0.637,0.456
64,40,4,0.997,0.998,0.995,0.667,0.649,0.452
64,40,6,0.993,0.994,0.988,0.669,0.638,0.451
64,40,8,0.988,0.99,0.978,0.677,0.627,0.454
64,40,10,0.984,0.986,0.97,0.668,0.651,0.464
64,50,2,1.0,1.0,1.0,0.673,0.637,0.456
64,50,4,0.997,0.998,0.995,0.667,0.649,0.452
64,50,6,0.993,0.994,0.988,0.669,0.638,0.451
64,50,8,0.988,0.99,0.978,0.677,0.627,0.454
64,50,10,0.984,0.986,0.97,0.668,0.651,0.464
64,60,2,1.0,1.0,1.0,0.673,0.637,0.456
64,60,4,0.997,0.998,0.995,0.667,0.649,0.452
64,60,6,0.993,0.994,0.988,0.669,0.638,0.451
64,60,8,0.988,0.99,0.978,0.677,0.627,0.454
64,60,10,0.984,0.986,0.97,0.668,0.651,0.464
64,70,2,1.0,1.0,1.0,0.673,0.637,0.456
64,70,4,0.997,0.998,0.995,0.667,0.649,0.452
64,70,6,0.993,0.994,0.988,0.669,0.638,0.451
64,70,8,0.988,0.99,0.978,0.677,0.627,0.454
64,70,10,0.984,0.986,0.97,0.668,0.651,0.464
64,80,2,1.0,1.0,1.0,0.673,0.637,0.456
64,80,4,0.997,0.998,0.995,0.667,0.649,0.452
64,80,6,0.993,0.994,0.988,0.669,0.638,0.451
64,80,8,0.988,0.99,0.978,0.677,0.627,0.454
64,80,10,0.984,0.986,0.97,0.668,0.651,0.464
64,90,2,1.0,1.0,1.0,0.673,0.637,0.456
64,90,4,0.997,0.998,0.995,0.667,0.649,0.452
64,90,6,0.993,0.994,0.988,0.669,0.638,0.451
64,90,8,0.988,0.99,0.978,0.677,0.627,0.454
64,90,10,0.984,0.986,0.97,0.668,0.651,0.464
64,100,2,1.0,1.0,1.0,0.673,0.637,0.456
64,100,4,0.997,0.998,0.995,0.667,0.649,0.452
64,100,6,0.993,0.994,0.988,0.669,0.638,0.451
64,100,8,0.988,0.99,0.978,0.677,0.627,0.454
64,100,10,0.984,0.986,0.97,0.668,0.651,0.464
128,10,2,0.973,0.972,0.946,0.688,0.66,0.482
128,10,4,0.966,0.965,0.933,0.683,0.663,0.481
128,10,6,0.957,0.96,0.92,0.682,0.647,0.465
128,10,8,0.955,0.955,0.912,0.687,0.658,0.481
128,10,10,0.947,0.946,0.896,0.688,0.656,0.478
128,20,2,1.0,1.0,0.999,0.676,0.657,0.474
128,20,4,0.997,0.998,0.995,0.67,0.656,0.471
128,20,6,0.994,0.995,0.989,0.662,0.643,0.45
128,20,8,0.99,0.991,0.981,0.674,0.649,0.467
128,20,10,0.985,0.987,0.971,0.697,0.644,0.479
128,30,2,1.0,1.0,1.0,0.681,0.64,0.463
128,30,4,0.998,0.998,0.996,0.69,0.656,0.479
128,30,6,0.994,0.995,0.989,0.678,0.647,0.463
128,30,8,0.99,0.991,0.981,0.681,0.642,0.468
128,30,10,0.984,0.987,0.971,0.685,0.652,0.47
128,40,2,1.0,1.0,1.0,0.671,0.642,0.46
128,40,4,0.998,0.998,0.996,0.688,0.656,0.476
128,40,6,0.994,0.995,0.989,0.676,0.649,0.463
128,40,8,0.99,0.991,0.981,0.681,0.642,0.468
128,40,10,0.984,0.987,0.971,0.685,0.652,0.47
128,50,2,1.0,1.0,1.0,0.671,0.642,0.46
128,50,4,0.998,0.998,0.996,0.688,0.656,0.476
128,50,6,0.994,0.995,0.989,0.676,0.649,0.463
128,50,8,0.99,0.991,0.981,0.681,0.642,0.468
128,50,10,0.984,0.987,0.971,0.685,0.652,0.47
128,60,2,1.0,1.0,1.0,0.671,0.642,0.46
128,60,4,0.998,0.998,0.996,0.688,0.656,0.476
128,60,6,0.994,0.995,0.989,0.676,0.649,0.463
128,60,8,0.99,0.991,0.981,0.681,0.642,0.468
128,60,10,0.984,0.987,0.971,0.685,0.652,0.47
128,70,2,1.0,1.0,1.0,0.671,0.642,0.46
128,70,4,0.998,0.998,0.996,0.688,0.656,0.476
128,70,6,0.994,0.995,0.989,0.676,0.649,0.463
128,70,8,0.99,0.991,0.981,0.681,0.642,0.468
128,70,10,0.984,0.987,0.971,0.685,0.652,0.47
128,80,2,1.0,1.0,1.0,0.671,0.642,0.46
128,80,4,0.998,0.998,0.996,0.688,0.656,0.476
128,80,6,0.994,0.995,0.989,0.676,0.649,0.463
128,80,8,0.99,0.991,0.981,0.681,0.642,0.468
128,80,10,0.984,0.987,0.971,0.685,0.652,0.47
128,90,2,1.0,1.0,1.0,0.671,0.642,0.46
128,90,4,0.998,0.998,0.996,0.688,0.656,0.476
128,90,6,0.994,0.995,0.989,0.676,0.649,0.463
128,90,8,0.99,0.991,0.981,0.681,0.642,0.468
128,90,10,0.984,0.987,0.971,0.685,0.652,0.47
128,100,2,1.0,1.0,1.0,0.671,0.642,0.46
128,100,4,0.998,0.998,0.996,0.688,0.656,0.476
128,100,6,0.994,0.995,0.989,0.676,0.649,0.463
128,100,8,0.99,0.991,0.981,0.681,0.642,0.468
128,100,10,0.984,0.987,0.971,0.685,0.652,0.47
256,10,2,0.973,0.972,0.947,0.69,0.655,0.478
256,10,4,0.967,0.965,0.933,0.693,0.661,0.485
256,10,6,0.961,0.96,0.923,0.691,0.654,0.48
256,10,8,0.955,0.956,0.913,0.692,0.662,0.49
256,10,10,0.95,0.947,0.9,0.692,0.659,0.487
256,20,2,1.0,1.0,1.0,0.674,0.656,0.467
256,20,4,0.997,0.998,0.995,0.687,0.652,0.477
256,20,6,0.995,0.995,0.99,0.685,0.647,0.47
256,20,8,0.99,0.992,0.983,0.692,0.645,0.473
256,20,10,0.986,0.987,0.973,0.688,0.651,0.476
256,30,2,1.0,1.0,1.0,0.681,0.639,0.465
256,30,4,0.998,0.998,0.996,0.692,0.651,0.476
256,30,6,0.994,0.995,0.99,0.684,0.659,0.474
256,30,8,0.99,0.992,0.982,0.691,0.641,0.47
256,30,10,0.984,0.988,0.972,0.69,0.655,0.474
256,40,2,1.0,1.0,1.0,0.678,0.64,0.464
256,40,4,0.998,0.998,0.996,0.692,0.651,0.473
256,40,6,0.994,0.995,0.99,0.686,0.66,0.476
256,40,8,0.99,0.992,0.982,0.691,0.641,0.47
256,40,10,0.985,0.988,0.973,0.688,0.654,0.472
256,50,2,1.0,1.0,1.0,0.678,0.64,0.464
256,50,4,0.998,0.998,0.996,0.692,0.651,0.473
256,50,6,0.994,0.995,0.99,0.686,0.66,0.476
256,50,8,0.99,0.992,0.982,0.691,0.641,0.47
256,50,10,0.985,0.988,0.973,0.688,0.654,0.472
256,60,2,1.0,1.0,1.0,0.678,0.64,0.464
256,60,4,0.998,0.998,0.996,0.692,0.651,0.473
256,60,6,0.994,0.995,0.99,0.686,0.66,0.476
256,60,8,0.99,0.992,0.982,0.691,0.641,0.47
256,60,10,0.985,0.988,0.973,0.688,0.654,0.472
256,70,2,1.0,1.0,1.0,0.678,0.64,0.464
256,70,4,0.998,0.998,0.996,0.692,0.651,0.473
256,70,6,0.994,0.995,0.99,0.686,0.66,0.476
256,70,8,0.99,0.992,0.982,0.691,0.641,0.47
256,70,10,0.985,0.988,0.973,0.688,0.654,0.472
256,80,2,1.0,1.0,1.0,0.678,0.64,0.464
256,80,4,0.998,0.998,0.996,0.692,0.651,0.473
256,80,6,0.994,0.995,0.99,0.686,0.66,0.476
256,80,8,0.99,0.992,0.982,0.691,0.641,0.47
256,80,10,0.985,0.988,0.973,0.688,0.654,0.472
256,90,2,1.0,1.0,1.0,0.678,0.64,0.464
256,90,4,0.998,0.998,0.996,0.692,0.651,0.473
256,90,6,0.994,0.995,0.99,0.686,0.66,0.476
256,90,8,0.99,0.992,0.982,0.691,0.641,0.47
256,90,10,0.985,0.988,0.973,0.688,0.654,0.472
256,100,2,1.0,1.0,1.0,0.678,0.64,0.464
256,100,4,0.998,0.998,0.996,0.692,0.651,0.473
256,100,6,0.994,0.995,0.99,0.686,0.66,0.476
256,100,8,0.99,0.992,0.982,0.691,0.641,0.47
256,100,10,0.985,0.988,0.973,0.688,0.654,0.472
512,10,2,0.974,0.971,0.947,0.691,0.658,0.487
512,10,4,0.969,0.967,0.937,0.686,0.657,0.481
512,10,6,0.962,0.962,0.926,0.695,0.662,0.489
512,10,8,0.956,0.956,0.915,0.7,0.661,0.497
512,10,10,0.949,0.948,0.9,0.692,0.662,0.485
512,20,2,1.0,1.0,1.0,0.687,0.656,0.475
512,20,4,0.998,0.998,0.996,0.689,0.65,0.477
512,20,6,0.995,0.996,0.99,0.689,0.653,0.482
512,20,8,0.991,0.993,0.983,0.693,0.65,0.479
512,20,10,0.985,0.988,0.973,0.685,0.656,0.478
512,30,2,1.0,1.0,1.0,0.685,0.647,0.476
512,30,4,0.998,0.999,0.997,0.69,0.651,0.476
512,30,6,0.994,0.995,0.99,0.692,0.652,0.478
512,30,8,0.99,0.992,0.983,0.694,0.653,0.483
512,30,10,0.985,0.988,0.973,0.691,0.654,0.477
512,40,2,1.0,1.0,1.0,0.686,0.647,0.473
512,40,4,0.998,0.998,0.996,0.69,0.651,0.476
512,40,6,0.994,0.996,0.99,0.691,0.653,0.479
512,40,8,0.99,0.992,0.983,0.693,0.652,0.482
512,40,10,0.985,0.988,0.973,0.691,0.654,0.477
