n_folds,test_score,train_score,arch,fixed_parameters
3,0.3164,0.4569,"[9, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.3869,"[9, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.4093,"[9, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4212,"[9, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3107,0.4233,"[9, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3672,0.3848,"[9, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4391,"[14, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2825,0.4014,"[14, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[14, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3333,0.3748,"[14, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4096,0.3814,"[14, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.4625,"[14, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.3972,"[14, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3305,0.3972,"[14, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3475,0.4021,"[14, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3672,0.4167,"[14, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3249,0.3962,"[14, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2797,0.407,"[28, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.291,0.3641,"[28, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.3967,"[28, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2881,0.3636,"[28, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3616,0.4616,"[28, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[28, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.322,0.4627,"[28, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3616,0.4611,"[28, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3814,0.4246,"[28, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3644,0.3798,"[28, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.291,0.3949,"[28, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[56, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4752,"[56, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2627,0.2969,"[56, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[56, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3842,0.4203,"[56, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.4443,"[56, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2684,0.345,"[56, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.322,0.4513,"[56, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3249,0.3385,"[56, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
